Q1,Question,A1,Answer
Q1,如何註冊毛日好帳號？,A1,1.點擊首頁右上角「註冊」按鈕 2.填寫姓名、電子郵件、使用者名稱和密碼 3.點擊「註冊」完成 4.檢查郵箱點擊驗證連結 5.驗證完成即可登入使用
Q2,忘記密碼怎麼辦？,A2,1.在登入頁面點擊「忘記密碼？」 2.輸入註冊時的電子郵件 3.查收重設密碼郵件 4.點擊郵件中的連結設定新密碼 5.使用新密碼登入
Q3,如何修改個人資料？,A3,1.登入後點擊右上角個人頭像 2.選擇「帳號設定」 3.修改姓名、電話、地址等資訊 4.點擊「儲存變更」完成修改
Q4,如何上傳大頭貼？,A4,1.進入「帳號設定」頁面 2.點擊大頭貼區域的「上傳照片」 3.選擇圖片檔案(支援JPG、PNG) 4.調整裁切區域 5.點擊「確認上傳」
Q5,如何新增寵物資料？,A5,1.點擊導航列「毛孩管理」 2.點擊「新增毛孩」按鈕 3.填寫寵物姓名、品種、生日、性別等基本資訊 4.上傳寵物照片 5.點擊「儲存」完成新增
Q6,如何編輯寵物資訊？,A6,1.進入「毛孩管理」頁面 2.找到要編輯的寵物，點擊「編輯」 3.修改需要更新的資訊 4.重新上傳照片(可選) 5.點擊「更新資料」儲存變更
Q7,如何刪除寵物資料？,A7,1.進入「毛孩管理」頁面 2.找到要刪除的寵物 3.點擊「刪除」按鈕 4.確認刪除操作 ※注意：刪除後無法復原，請謹慎操作
Q8,寵物照片上傳有什麼限制？,A8,照片檔案限制：1.格式支援JPG、PNG 2.檔案大小不超過5MB 3.建議尺寸800x800像素以上 4.系統會自動壓縮過大圖片
Q9,如何記錄寵物體重？,A9,1.進入「健康記錄」頁面 2.選擇要記錄的寵物 3.點擊「新增體重記錄」 4.輸入體重數值和日期 5.可添加備註說明 6.點擊「儲存記錄」
Q10,如何添加疫苗接種記錄？,A10,1.進入「疫苗&驅蟲」頁面 2.點擊「新增疫苗記錄」 3.填寫疫苗名稱、接種日期、醫院資訊 4.上傳接種證明照片(可選) 5.設定下次接種提醒 6.儲存記錄
