問題編號,問題,答案編號,回答內容,來源工作表
PC1,該選擇哪一種寵物？,PCA1,根據你的生活方式、空間大小、過敏狀況和喜好選擇，如：狗、貓、小型哺乳動物、鳥類或爬蟲類。,飼養前的準備
PC2,領養還是購買？,PCA2,領養能給流浪動物第二個機會，且多數有基本疫苗。若選購請確認合法來源與健康證明。,飼養前的準備
PC3,飼養寵物需要準備哪些物品？,PCA3,包括食器、水碗、寵物床、籠子、玩具、清潔用品、項圈或胸背帶等。,飼養前的準備
PC4,飼養狗狗要申請寵物登記嗎？,PCA4,是的，根據台灣法規，需於飼養後一個月內完成寵物登記並植入晶片。,飼養前的準備
PC5,初次見面如何與寵物建立信任？,PCA5,保持溫柔聲音與動作，給予時間適應環境，並用零食或玩具正向互動。,飼養前的準備
PC6,公寓可養寵物嗎？,PCA6,須查看租屋合約或公寓管委會規定，並選擇不會吠叫太吵或體型過大的寵物。,飼養前的準備
PC7,寵物需要固定的作息嗎？,PCA7,是的，規律的餵食、運動和睡眠時間有助於健康與行為穩定。,飼養前的準備
PC8,如何選擇合適的獸醫院？,PCA8,評估醫院距離、服務項目、醫師經驗及網路評價，建立長期信任關係。,飼養前的準備
PC9,養寵物會有哪些花費？,PCA9,包含飼料、醫療、洗澡美容、預防針、用品更新等，每月支出依寵物類型與照護程度不同。,飼養前的準備
PC10,幼犬或幼貓要吃專用飼料嗎？,PCA10,是的，幼年期需攝取高蛋白、高熱量營養配方支持成長。,飲食與營養
PC11,要餵寵物幾次一天？,PCA11,幼年期建議一天3–4餐，成年犬貓一天1–2餐視體重與活動量調整。,飲食與營養
PC12,罐頭與乾飼料哪個比較好？,PCA12,可混合餵食，乾糧有助牙齒，濕糧提高水分攝取。依健康與喜好選擇。,飲食與營養
PC13,寵物會挑食怎麼辦？,PCA13,固定餵食時間、避免零食過多，必要時諮詢獸醫排除健康問題。,飲食與營養
PC14,寵物喝水要注意什麼？,PCA14,要每天更換乾淨水源，部分貓咪喜愛流動水可使用自動飲水器。,飲食與營養
PC15,如何知道寵物是否營養不良？,PCA15,毛髮黯淡、體重下降、無力、便便異常等都是警訊。應即時就醫。,飲食與營養
PC16,寵物可以吃生食嗎？,PCA16,有生食派飼主，但需嚴格衛生控管，避免寄生蟲或病菌感染。,飲食與營養
PC17,如何挑選優質飼料？,PCA17,看成分表是否含高比例動物性蛋白、無人工香料、具認證標章。,飲食與營養
PC18,寵物吃太快怎麼辦？,PCA18,可使用慢食碗、分多次餵食、混入水讓進食變慢。,飲食與營養
PC19,常見的寵物疾病有哪些？,PCA19,包括皮膚病、腸胃炎、牙周病、心臟病、關節炎等。,健康與醫療
PC20,寵物一直抓癢怎麼辦？,PCA20,可能是過敏、寄生蟲或皮膚病，建議就醫檢查。,健康與醫療
PC21,便便異常是什麼狀況？,PCA21,軟便、拉肚子、便秘、出血、異味等需特別注意。,健康與醫療
